DEPTH,KHINF,KHAIR,PORHE,KVINF,CLI,DCOR,GR,LLD,LLD
1563.05,1.08,1.4,0.134,0.717,8.365619999999987,-0.001023399999999622,33.77000000000007,36.59190000000014,36.59190000000014
1563.53,0.116,0.175,0.104,0.141,8.437580000000006,-0.003688720000000051,33.33719999999999,35.147756000000115,35.147756000000115
1565.02,14.6,17.4,0.195,5.46,8.439559999999998,-0.01204680000000015,60.11399999999897,23.097008000000095,23.097008000000095
1565.58,2.92,3.77,0.201,0.636,8.448456,-0.006625760000000853,75.78176000000006,20.92040000000009,20.92040000000009
1566.05,0.882,1.16,0.134,0.385,8.460259999999998,-0.00031660000000033876,75.49054000000032,20.79239999999992,20.79239999999992
1566.78,1.39,1.7,0.072,0.622,8.44724,-0.007943479999999985,64.3920999999994,23.1667439999998,23.1667439999998
1567.09,1.68,2.13,0.142,5.74,8.441208,-0.007863320000000175,70.03600799999919,25.321523999999496,25.321523999999496
1567.52,1.03,1.27,0.093,3.46,8.446572,-0.006411320000000114,71.94760000000016,25.857876000000054,25.857876000000054
1568.08,38.7,45.1,0.293,27.8,8.446760000000005,-0.003635639999999781,68.28999999999957,22.524128000000566,22.524128000000566
1568.52,8.54,9.77,0.169,5.98,8.414352,-0.00458004000000029,70.54101600000024,19.63147600000004,19.63147600000004
1569.11,2.47,2.94,0.114,7.58,8.276940000000067,-0.0026274799999980425,59.87820000000264,19.90316399999948,19.90316399999948
1569.67,0.275,0.365,0.106,0.323,8.22039200000004,-0.008104559999999946,50.671267999999586,23.717000000000443,23.717000000000443
1570.1,0.104,0.161,0.101,0.574,8.302799999999996,-0.005803400000000669,49.33010000000018,26.229959999999547,26.229959999999547
1570.53,0.153,0.24,0.122,0.826,8.442103999999988,0.00023227999999955588,47.441284000000174,27.225700000000103,27.225700000000103
1571.12,0.118,0.178,0.095,0.438,8.47784000000002,0.0042250799999995975,43.474148000000866,24.07860000000085,24.07860000000085
1571.52,0.128,0.19,0.098,0.188,8.384024000000004,0.00968663999999976,38.620676000000266,20.83230800000016,20.83230800000016
1572.1,5.57,7.56,0.134,0.128,8.354039999999987,0.007944600000002092,30.644640000000404,17.32620000000031,17.32620000000031
1572.52,7.93,9.42,0.161,6.63,8.429983999999996,-0.0035014399999999516,31.604875999999372,16.82224799999998,16.82224799999998
1573.05,0.335,0.453,0.101,0.152,8.552800000000016,0.0006491999999994678,53.64599999999964,17.888039999999844,17.888039999999844
1574.18,0.092,0.137,0.065,23.5,8.578400000000002,-0.00254675999999869,55.50330000000068,23.650020000000332,23.650020000000332
1575.2,0.123,0.173,0.078,0.011,8.607000000000001,-0.003772800000000366,50.95589999999636,30.56600000000001,30.56600000000001
1575.56,0.01,0.019,0.049,0.468,8.564280000000009,-0.0009796000000007552,39.762600000000674,29.328584000001175,29.328584000001175
1576.04,0.56,0.706,0.141,0.26,8.424204000000001,0.001757400000000125,36.0081120000002,19.711600000000598,19.711600000000598
1577.1,5.22,5.14,0.141,7.45,8.389760000000003,-0.0034498000000003776,30.923259999998393,8.681400000000325,8.681400000000325
1577.52,4.74,5.71,0.192,4.85,8.376052,-0.0002961200000001227,40.40881599999968,7.448420000000043,7.448420000000043
1578.01,7.81,9.85,0.212,14.9,8.360176000000001,0.002366560000000093,47.321956000000135,6.374452000000017,6.374452000000017
1578.52,0.441,0.581,0.102,0.103,8.343552,-0.005327559999999855,35.68479999999966,5.747184000000011,5.747184000000011
1579.1,5.47,7.0,0.222,6.95,8.359239999999971,-0.00839680000000067,42.19764000000226,5.604139999999985,5.604139999999985
1579.57,0.948,1.14,0.088,3.19,8.42376000000001,-0.007582959999999476,34.89619999999994,5.754063999999957,5.754063999999957
1580.09,15.7,16.9,0.107,1.59,8.355600000000006,-0.01266503999999898,37.61629599999895,6.16061999999995,6.16061999999995
1580.52,4.75,6.24,0.245,6.15,8.336400000000001,-0.011380200000000323,43.47289999999974,6.426959999999988,6.426959999999988
1581.05,3.88,5.4,0.254,3.23,8.3315,-0.003242000000000577,44.795500000000494,6.742879999999996,6.742879999999996
1581.59,4.84,6.16,0.215,28.7,8.367823999999992,-0.0026347999999995235,45.27427999999922,6.793339999999993,6.793339999999993
1582.05,2.06,2.67,0.185,3.92,8.396939999999999,-7.200000000051295e-05,47.26209999999977,6.91931999999997,6.91931999999997
1582.68,14.7,15.5,0.164,1.28,8.356563999999997,0.003448239999999603,56.08878000000082,7.438400000000059,7.438400000000059
