DEPTH	BHC	GR	LLD	LLM	MLL	NPHI	PEF	RHOB	SP
1015.2	123.153	77.468	0.785	0.783	0.986	-999.25	-999.25	-999.25	90.336
1015.3	125.83	78.665	0.781	0.783	0.97	-999.25	-999.25	-999.25	90.319
1015.4	128.107	79.832	0.778	0.782	0.953	-999.25	-999.25	-999.25	90.218
1015.5	128.73	80.787	0.78	0.783	0.939	-999.25	-999.25	-999.25	90.003
1015.6	129.153	80.942	0.79	0.789	0.933	-999.25	-999.25	-999.25	89.806
1015.7	129.927	80.611	0.806	0.798	0.933	-999.25	-999.25	-999.25	89.637
1015.8	131.83	79.523	0.832	0.816	0.944	-999.25	-999.25	-999.25	89.531
1015.9	132.009	78.104	0.867	0.845	0.972	-999.25	-999.25	-999.25	89.447
1016	131.31	76.635	0.908	0.882	1.017	-999.25	-999.25	-999.25	89.366
1016.1	129.621	75.41	0.953	0.934	1.098	-999.25	-999.25	-999.25	89.271
1016.2	127.863	73.89	0.993	0.994	1.245	-999.25	-999.25	-999.25	89.138
1016.3	126.543	71.963	1.027	1.056	1.438	-999.25	-999.25	-999.25	88.985
1016.4	127.544	68.666	1.046	1.107	1.722	-999.25	-999.25	-999.25	88.811
1016.5	129.094	64.585	1.054	1.13	1.927	-999.25	-999.25	-999.25	88.675
1016.6	131.24	60.231	1.055	1.133	2.041	-999.25	-999.25	-999.25	88.577
1016.7	135.529	57.062	1.051	1.098	1.814	-999.25	-999.25	-999.25	88.598
1016.8	139.819	56.273	1.047	1.057	1.543	-999.25	-999.25	-999.25	88.701
1016.9	143.687	57.359	1.043	1.012	1.25	-999.25	-999.25	-999.25	88.862
1017	142.121	61.798	1.038	0.979	1.079	-999.25	-999.25	-999.25	89.068
1017.1	140.554	66.779	1.029	0.954	0.966	-999.25	-999.25	-999.25	89.233
1017.2	138.899	72.18	1.017	0.936	0.902	-999.25	-999.25	-999.25	89.364
1017.3	133.658	76.531	0.994	0.927	0.904	-999.25	-999.25	-999.25	89.41
1017.4	128.417	80.047	0.97	0.921	0.93	-999.25	-999.25	-999.25	89.455
1017.5	123.176	82.725	0.943	0.918	0.981	-999.25	-999.25	-999.25	89.498
1017.6	120.649	83.63	0.921	0.922	1.066	-999.25	-999.25	-999.25	89.521
1017.7	118.188	83.626	0.905	0.928	1.157	-999.25	-999.25	-999.25	89.518
1017.8	115.727	82.572	0.894	0.937	1.253	-999.25	-999.25	-999.25	89.485
1017.9	117.567	80.448	0.896	0.943	1.305	-999.25	-999.25	-999.25	89.457
1018	119.741	78.367	0.902	0.947	1.315	-999.25	-999.25	-999.25	89.45
1018.1	121.914	76.472	0.915	0.947	1.27	-999.25	-999.25	-999.25	89.475
1018.2	122.42	76.044	0.931	0.946	1.185	-999.25	-999.25	-999.25	89.543
1018.3	122.448	76.217	0.947	0.945	1.106	-999.25	-999.25	-999.25	89.589
1018.4	122.022	77.115	0.96	0.946	1.046	-999.25	-999.25	-999.25	89.589
1018.5	119.473	77.647	0.967	0.949	1.032	-999.25	-999.25	-999.25	89.403
1018.6	117.506	77.792	0.969	0.952	1.042	-999.25	-999.25	-999.25	89.123
1018.7	117.81	77.236	0.965	0.955	1.086	-999.25	-999.25	-999.25	88.714
1018.8	118.492	76.057	0.955	0.956	1.143	-999.25	-999.25	-999.25	88.284
1018.9	119.463	74.681	0.945	0.957	1.196	-999.25	-999.25	-999.25	87.883
1019	120.956	73.232	0.933	0.957	1.23	-999.25	-999.25	-999.25	87.586
1019.1	122.805	72.624	0.924	0.954	1.231	-999.25	-999.25	-999.25	87.468
1019.2	124.18	72.668	0.916	0.949	1.214	-999.25	-999.25	-999.25	87.461
1019.3	123.319	74.011	0.91	0.94	1.18	-999.25	-999.25	-999.25	87.626
1019.4	123.202	75.878	0.906	0.928	1.14	-999.25	-999.25	-999.25	87.839
1019.5	123.424	77.926	0.902	0.916	1.099	-999.25	-999.25	-999.25	88.06
1019.6	123.645	79.679	0.899	0.904	1.061	-999.25	-999.25	-999.25	88.217
1019.7	123.993	80.813	0.897	0.896	1.033	-999.25	-999.25	-999.25	88.3
1019.8	124.294	81.501	0.894	0.891	1.014	-999.25	-999.25	-999.25	88.327
1019.9	123.704	81.45	0.892	0.891	1.013	-999.25	-999.25	-999.25	88.252
1020	122.768	81.252	0.89	0.894	1.024	-999.25	-999.25	-999.25	88.146
1020.1	121.445	80.965	0.889	0.899	1.044	-999.25	-999.25	-999.25	88.021
1020.2	118.066	80.862	0.892	0.908	1.075	-999.25	-999.25	-999.25	87.899
1020.3	114.357	80.767	0.897	0.918	1.108	-999.25	-999.25	-999.25	87.795
1020.4	110.408	80.673	0.904	0.931	1.142	-999.25	-999.25	-999.25	87.706
1020.5	108.325	80.354	0.915	0.944	1.174	-999.25	-999.25	-999.25	87.696
1020.6	106.681	79.714	0.927	0.956	1.203	-999.25	-999.25	-999.25	87.719
1020.7	105.484	78.746	0.94	0.967	1.231	-999.25	-999.25	-999.25	87.776
1020.8	107.483	77.485	0.95	0.975	1.25	-999.25	-999.25	-999.25	87.866
1020.9	109.96	76.514	0.958	0.979	1.26	-999.25	-999.25	-999.25	87.964
1021	112.913	75.91	0.962	0.98	1.26	-999.25	-999.25	-999.25	88.072
1021.1	116.987	76.035	0.962	0.974	1.241	-999.25	-999.25	-999.25	88.195
1021.2	121.335	76.311	0.961	0.966	1.215	-999.25	-999.25	-999.25	88.324
1021.3	125.952	76.726	0.959	0.956	1.181	-999.25	-999.25	-999.25	88.459
1021.4	130.074	76.707	0.955	0.946	1.149	-999.25	-999.25	-999.25	88.632
1021.5	133.774	76.536	0.951	0.936	1.12	-999.25	-999.25	-999.25	88.835
1021.6	136.825	76.2	0.945	0.927	1.097	-999.25	-999.25	-999.25	89.084
1021.7	135.707	76.105	0.938	0.921	1.08	-999.25	-999.25	-999.25	89.378
1021.8	133.742	76.225	0.929	0.915	1.064	-999.25	-999.25	-999.25	89.681
1021.9	131.822	76.718	0.92	0.91	1.049	-999.25	-999.25	-999.25	89.987
1022	128.969	77.056	0.911	0.907	1.034	-999.25	-999.25	-999.25	90.252
1022.1	125.863	77.231	0.902	0.903	1.022	-999.25	-999.25	-999.25	90.477
1022.2	122.787	77.064	0.896	0.902	1.015	-999.25	-999.25	-999.25	90.623
1022.3	122.101	77.252	0.893	0.901	1.017	-999.25	-999.25	-999.25	90.645
1022.4	122.124	77.638	0.891	0.901	1.023	-999.25	-999.25	-999.25	90.591
1022.5	121.517	78.288	0.893	0.903	1.037	-999.25	-999.25	-999.25	90.414
1022.6	122.301	78.68	0.898	0.904	1.049	-999.25	-999.25	-999.25	90.184
1022.7	123.833	78.835	0.904	0.905	1.06	-999.25	-999.25	-999.25	89.94
1022.8	125.917	78.372	0.913	0.906	1.063	-999.25	-999.25	-999.25	89.744
1022.9	126.315	77.646	0.922	0.907	1.064	-999.25	-999.25	-999.25	89.618
1023	125.815	76.803	0.93	0.909	1.064	-999.25	-999.25	-999.25	89.544
1023.1	125.84	76.231	0.936	0.913	1.073	-999.25	-999.25	-999.25	89.573
1023.2	125.59	76.093	0.939	0.918	1.087	-999.25	-999.25	-999.25	89.655
1023.3	125.121	76.3	0.94	0.924	1.104	-999.25	-999.25	-999.25	89.769
1023.4	124.276	77.095	0.938	0.93	1.117	-999.25	-999.25	-999.25	89.797
1023.5	124.087	77.948	0.935	0.934	1.12	-999.25	-999.25	-999.25	89.723
1023.6	124.46	78.849	0.931	0.936	1.113	-999.25	-999.25	-999.25	89.563
1023.7	125.058	79.637	0.928	0.933	1.088	-999.25	-999.25	-999.25	89.314
1023.8	125.96	80.186	0.925	0.929	1.062	-999.25	-999.25	-999.25	89.15
1023.9	127.174	80.488	0.924	0.922	1.035	-999.25	-999.25	-999.25	89.071
1024	128.491	80.084	0.924	0.916	1.017	-999.25	-999.25	-999.25	89.319
1024.1	129.688	79.653	0.923	0.911	1.006	-999.25	-999.25	-999.25	89.683
1024.2	130.729	79.218	0.921	0.908	1.001	-999.25	-999.25	-999.25	90.179
1024.3	131.356	79.6	0.917	0.907	1.008	-999.25	-999.25	-999.25	90.648
1024.4	132.122	80.406	0.912	0.907	1.018	-999.25	-999.25	-999.25	91.034
1024.5	133.155	81.752	0.906	0.907	1.033	-999.25	-999.25	-999.25	91.296
1024.6	134.081	83.052	0.899	0.905	1.051	-999.25	-999.25	-999.25	91.446
1024.7	134.224	83.977	0.892	0.903	1.065	-999.25	-999.25	-999.25	91.558
1024.8	132.928	84.211	0.886	0.899	1.073	-999.25	-999.25	-999.25	91.63
1024.9	131.348	83.937	0.88	0.893	1.068	-999.25	-999.25	-999.25	91.699
1025	129.068	83.702	0.875	0.887	1.055	-999.25	-999.25	-999.25	91.792
1025.1	125.295	83.814	0.87	0.881	1.033	-999.25	-999.25	-999.25	91.945
1025.2	121.433	84.439	0.867	0.875	1.008	-999.25	-999.25	-999.25	92.161
1025.3	118.757	85.14	0.866	0.871	0.984	-999.25	-999.25	-999.25	92.38
1025.4	119.675	85.629	0.87	0.868	0.967	-999.25	-999.25	-999.25	92.557
1025.5	120.642	85.397	0.879	0.866	0.961	-999.25	-999.25	-999.25	92.599
1025.6	121.554	84.816	0.891	0.867	0.964	-999.25	-999.25	-999.25	92.56
1025.7	122.185	83.92	0.91	0.871	0.984	-999.25	-999.25	-999.25	92.397
1025.8	123.196	83.365	0.931	0.881	1.024	-999.25	-999.25	-999.25	92.2
1025.9	124.328	82.999	0.952	0.896	1.081	-999.25	-999.25	-999.25	91.996
1026	125.148	82.785	0.971	0.919	1.173	-999.25	-999.25	-999.25	91.83
1026.1	125.631	81.85	0.986	0.948	1.281	-999.25	-999.25	-999.25	91.663
1026.2	125.524	80.321	0.997	0.978	1.395	-999.25	-999.25	-999.25	91.487
1026.3	122.153	77.352	1.003	1.001	1.468	-999.25	-999.25	-999.25	91.255
