DEPTH	GR	LLD	LLS	MLL	NPHI	PEF	RHOB
1313.4	71.0952	1.9306	1.969	2.1954	0.278784	3.5583	2.4033
1313.5	71.4056	1.9219	1.9565	2.1853	0.278398	3.5452	2.4026
1313.6	72.1242	1.914	1.9463	2.1676	0.278133	3.5049	2.3994
1313.7	72.9207	1.9067	1.9391	2.1482	0.277673	3.4521	2.396
1313.8	73.3162	1.8998	1.9344	2.1346	0.276752	3.4029	2.3937
1313.9	72.9131	1.8935	1.9307	2.1317	0.275508	3.3681	2.3927
1314	71.7334	1.8879	1.9258	2.1381	0.274605	3.3534	2.3916
1314.1	70.2343	1.8833	1.9178	2.1461	0.274728	3.3607	2.3885
1314.2	68.9413	1.8795	1.9067	2.1451	0.276155	3.3873	2.3824
1314.3	68.1958	1.8764	1.8944	2.1285	0.279302	3.4319	2.3739
1314.4	68.0659	1.8735	1.8838	2.0984	0.284575	3.5033	2.3651
1314.5	68.3768	1.8705	1.8777	2.0656	0.291406	3.5978	2.3586
1314.6	68.9852	1.8669	1.8769	2.0443	0.296823	3.7058	2.3564
1314.7	69.7425	1.8627	1.8804	2.0459	0.299008	3.8157	2.3589
1314.8	70.3917	1.8583	1.8856	2.0737	0.297667	3.9085	2.3647
1314.9	70.5981	1.8544	1.8892	2.1199	0.294351	3.9655	2.3714
1315	70.2358	1.8517	1.8884	2.1667	0.291143	3.9691	2.3766
1315.1	69.5244	1.8508	1.8826	2.1918	0.289512	3.9129	2.379
1315.2	68.9093	1.8521	1.874	2.1802	0.290403	3.8091	2.3788
1315.3	68.8672	1.8554	1.866	2.1348	0.293407	3.6877	2.3775
1315.4	69.7743	1.8602	1.8622	2.0749	0.297981	3.5913	2.3769
1315.5	71.5467	1.8657	1.8649	2.0247	0.302591	3.5517	2.3784
1315.6	73.7393	1.8712	1.8738	2.0018	0.304985	3.5776	2.3823
1315.7	75.7591	1.876	1.8866	2.0126	0.303628	3.6507	2.3877
1315.8	77.1247	1.8798	1.8994	2.0519	0.298494	3.7304	2.3936
1315.9	77.6494	1.8826	1.9093	2.1063	0.291227	3.7781	2.3988
1316	77.3013	1.8843	1.9151	2.159	0.283967	3.7718	2.4023
1316.1	76.1963	1.8849	1.9177	2.1969	0.278519	3.7087	2.4038
1316.2	74.6233	1.884	1.9189	2.2167	0.275782	3.6046	2.4033
1316.3	73.0776	1.881	1.9192	2.2237	0.275562	3.4915	2.4016
1316.4	72.1235	1.8751	1.9178	2.2252	0.277366	3.4139	2.3997
1316.5	71.9723	1.8658	1.9127	2.2242	0.28099	3.411	2.3986
1316.6	72.4274	1.8531	1.9019	2.2161	0.286504	3.4982	2.3986
1316.7	73.0682	1.8377	1.8851	2.1939	0.293651	3.6635	2.3992
1316.8	73.411	1.821	1.8636	2.1538	0.301279	3.8725	2.3996
1316.9	73.2421	1.8044	1.8399	2.0989	0.307743	4.0671	2.3988
1317	72.7553	1.7893	1.8166	2.0361	0.311865	4.1911	2.3966
