DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1520.125	63.941	8.707	64.217	20.4074	16.9808	21.427	0.06851	78.475
1520.25	65.7995	8.734	58.569	20.3148	16.9725	21.661	0.05982	77.7978
1520.375	65.469	8.771	55.22	20.2221	16.9643	21.895	0.05674	77.7515
1520.5	65.469	8.771	55.22	20.1295	16.956	22.129	0.05674	77.7515
1520.625	65.469	8.771	55.22	20.0369	16.9478	22.363	0.05674	77.7515
1520.75	65.1385	8.794	60.885	19.9443	16.9395	22.597	0.058525	77.7052
1520.875	64.808	8.809	63.534	19.8516	16.9312	22.831	0.05878	77.659
1521	64.808	8.809	63.534	19.759	16.923	23.065	0.05878	77.659
1521.125	64.808	8.809	63.534	44.2083	18.6978	27.6236	0.05878	77.659
1521.25	64.2445	8.8335	56.113	45.2715	18.8405	27.8472	0.0564	75.6935
1521.375	63.979	8.852	48.321	46.3348	18.9832	28.0709	0.05143	75.798
1521.5	63.979	8.852	48.321	47.398	19.126	28.2945	0.05143	75.798
1521.625	63.979	8.852	48.321	48.4613	19.2688	28.5181	0.05143	75.798
1521.75	63.7135	8.874	47.4945	49.5245	19.4115	28.7417	0.050625	75.9025
1521.875	63.448	8.896	51.418	50.5877	19.5543	28.9654	0.05374	76.007
1522	63.448	8.896	51.418	51.651	19.697	29.189	0.05374	76.007
1522.125	63.448	8.896	51.418	5.5752	5.9005	6.8229	0.05374	76.007
1522.25	66.5145	8.9165	49.3385	5.4635	5.763	6.6068	0.05248	73.5778
1522.375	67.557	8.958	42.71	5.3517	5.6255	6.3906	0.05222	73.5555
1522.5	67.557	8.958	42.71	5.24	5.488	6.1745	0.05222	73.5555
1522.625	67.557	8.958	42.71	5.1283	5.3505	5.9584	0.05222	73.5555
1522.75	68.5995	8.992	40.8295	5.0165	5.213	5.7422	0.053005	73.5332
1522.875	69.642	9	48.894	4.9048	5.0755	5.5261	0.05711	73.511
1523	69.642	9	48.894	4.793	4.938	5.31	0.05711	73.511
1523.125	69.642	9	48.894	4.1025	4.6881	8.7864	0.05711	73.511
1523.25	77.975	9.0165	74.3745	4.166	4.7572	9.1217	0.07375	71.8863
1523.375	77.051	9.058	106.144	4.2295	4.8264	9.4571	0.11315	71.9585
1523.5	77.051	9.058	106.144	4.293	4.8955	9.7925	0.11315	71.9585
1523.625	77.051	9.058	106.144	4.3565	4.9646	10.1279	0.11315	71.9585
1523.75	76.127	9.092	113.6935	4.42	5.0338	10.4633	0.173995	72.0307
1523.875	75.203	9.099	94.27	4.4835	5.1029	10.7986	0.18363	72.103
1524	75.203	9.099	94.27	4.547	5.172	11.134	0.18363	72.103
1524.125	75.203	9.099	94.27	19.7344	11.9414	15.0494	0.18363	72.103
1524.25	71.5173	9.101	66.968	19.6077	11.9967	15.0907	0.150405	74.391
1524.375	71.1805	9.112	46.478	19.4811	12.0521	15.1321	0.13409	74.655
1524.5	71.1805	9.112	46.478	19.3545	12.1075	15.1735	0.13409	74.655
1524.625	71.1805	9.112	46.478	19.2279	12.1629	15.2149	0.13409	74.655
1524.75	70.8438	9.117	39.2685	19.1012	12.2183	15.2563	0.123615	74.919
1524.875	70.507	9.11	39.713	18.9746	12.2736	15.2976	0.1255	75.183
1525	70.507	9.11	39.713	18.848	12.329	15.339	0.1255	75.183
1525.125	70.507	9.11	39.713	23.6859	16.8775	23.591	0.1255	75.183
1525.25	63.4378	9.13	39.6135	23.9288	16.983	23.997	0.117535	76.3002
1525.375	63.3005	9.162	36.782	24.1716	17.0885	24.403	0.09669	76.4065
1525.5	63.3005	9.162	36.782	24.4145	17.194	24.809	0.09669	76.4065
1525.625	63.3005	9.162	36.782	24.6574	17.2995	25.215	0.09669	76.4065
1525.75	63.1632	9.169	33.4495	24.9002	17.405	25.621	0.08457	76.5128
1525.875	63.026	9.173	30.784	25.1431	17.5105	26.027	0.08191	76.619
1526	63.026	9.173	30.784	25.386	17.616	26.433	0.08191	76.619
1526.125	63.026	9.173	30.784	18.7251	15.7679	18.4105	0.08191	76.619
1526.25	67.5205	9.1815	28.0155	18.5632	15.6587	18.218	0.078975	75.159
1526.375	68.004	9.158	26.885	18.4014	15.5496	18.0255	0.07181	75.148
1526.5	68.004	9.158	26.885	18.2395	15.4405	17.833	0.07181	75.148
1526.625	68.004	9.158	26.885	18.0776	15.3314	17.6405	0.07181	75.148
1526.75	68.4875	9.1165	31.7525	17.9157	15.2222	17.448	0.066225	75.137
1526.875	68.971	9.1	41.571	17.7539	15.1131	17.2555	0.06605	75.126
1527	68.971	9.1	41.571	17.592	15.004	17.063	0.06605	75.126
1527.125	68.971	9.1	41.571	13.9894	13.819	17.1194	0.06605	75.126
1527.25	68.8997	9.0999	52.1185	13.9757	13.801	17.0537	0.07284	74.8343
1527.375	68.7045	9.0999	56.345	13.9621	13.783	16.9881	0.07895	74.8965
1527.5	68.7045	9.0999	56.345	13.9485	13.765	16.9225	0.07895	74.8965
