DEPTH	BHC	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
165	178.1228	-0.005673	54.2451	-999.25	-999.25	-999.25	0.518693	-999.25	-999.25	-55.3446
165.25	176.8056	-0.00568	48.761	-999.25	-999.25	-999.25	0.5037	-999.25	-999.25	-55.2901
165.5	178.6039	-0.005993	49.1498	-999.25	-999.25	-999.25	0.49504	-999.25	-999.25	-57.4131
165.75	165.5223	-0.00298	50.878	-999.25	-999.25	-999.25	0.4909	-999.25	-999.25	-58.0579
166	164.863	0.00404	51.2716	-999.25	-999.25	-999.25	0.48002	-999.25	-999.25	-58.4319
166.25	164.7267	0.009027	53.5692	-999.25	-999.25	-999.25	0.497094	-999.25	-999.25	-58.3905
166.5	155.0721	0.013673	55.5356	-999.25	-999.25	-999.25	0.521774	-999.25	-999.25	-58.1789
166.75	153.5067	0.01568	53.4427	-999.25	-999.25	-999.25	0.4939	-999.25	-999.25	-57.4757
167	155.0357	0.01796	49.8997	-999.25	-999.25	-999.25	0.481067	-999.25	-999.25	-56.4604
167.25	162.5023	0.01402	53.7245	-999.25	-999.25	-999.25	0.494367	-999.25	-999.25	-54.335
167.5	165.9886	0.0037	59.9575	-999.25	-999.25	-999.25	0.50204	-999.25	-999.25	-53.4109
167.75	167.8301	0.001953	61.2544	-999.25	-999.25	-999.25	0.50902	-999.25	-999.25	-53.3918
168	167.2398	-0.01308	62.914	-999.25	-999.25	-999.25	0.509307	-999.25	-999.25	-51.2979
168.25	166.2996	-0.014	67.2878	-999.25	-999.25	-999.25	0.51	-999.25	-999.25	-50.6408
168.5	165.6402	-0.012993	70.3754	-999.25	-999.25	-999.25	0.50104	-999.25	-999.25	-49.2514
168.75	167.3485	-0.011327	67.5434	-999.25	-999.25	-999.25	0.49892	-999.25	-999.25	-47.5531
169	173.6691	-0.00864	62.9454	-999.25	-999.25	-999.25	0.530319	-999.25	-999.25	-47.0429
169.25	179.5787	0.003027	62.2206	-999.25	-999.25	-999.25	0.585148	-999.25	-999.25	-46.9239
169.5	185.5302	0.008347	60.2016	-999.25	-999.25	-999.25	0.59488	-999.25	-999.25	-50.4088
169.75	187.9243	0.00798	55.4398	-999.25	-999.25	-999.25	0.54218	-999.25	-999.25	-50.7819
170	190.0462	0.007027	55.4362	-999.25	-999.25	-999.25	0.527886	-999.25	-999.25	-51.1549
170.25	190.9075	0.012347	57.4426	-999.25	-999.25	-999.25	0.511673	-999.25	-999.25	-51.5279
170.5	190.6829	0.017	57.8215	-999.25	-999.25	-999.25	0.5107	-999.25	-999.25	-52.233
170.75	188.392	0.020919	58.7438	-999.25	-999.25	-999.25	0.527067	-999.25	-999.25	-52.6062
171	187.2718	0.010347	55.1762	-999.25	-999.25	-999.25	0.542387	-999.25	-999.25	-52.9795
171.25	186.6432	0.002	54.1992	-999.25	-999.25	-999.25	0.55334	-999.25	-999.25	-53.3527
171.5	186.2663	0	54.7917	-999.25	-999.25	-999.25	0.490919	-999.25	-999.25	-53.7259
171.75	186.0199	0.000673	55.7642	-999.25	-999.25	-999.25	0.47496	-999.25	-999.25	-53.6505
172	186.027	0.00132	56.0012	-999.25	-999.25	-999.25	0.48574	-999.25	-999.25	-54.2659
172.25	182.3146	-0.000007	57.1202	-999.25	-999.25	-999.25	0.50104	-999.25	-999.25	-54.2606
172.5	178.6023	-0.000327	61.4516	-999.25	-999.25	-999.25	0.51104	-999.25	-999.25	-54.2079
172.75	178.6227	0.00334	63.4496	-999.25	-999.25	-999.25	0.47568	-999.25	-999.25	-53.5072
173	177.9341	0.00596	60.0815	-999.25	-999.25	-999.25	0.460966	-999.25	-999.25	-52.5369
173.25	176.5866	0	57.5272	-999.25	-999.25	-999.25	0.460713	-999.25	-999.25	-52.4124
173.5	177.4933	-0.00036	58.5911	-999.25	-999.25	-999.25	0.48912	-999.25	-999.25	-51.8056
173.75	178.6187	-0.00198	58.2767	-999.25	-999.25	-999.25	0.513034	-999.25	-999.25	-51.8418
174	178.8053	0.001673	54.0718	-999.25	-999.25	-999.25	0.512613	-999.25	-999.25	-51.8779
174.25	178.3962	0.00668	53.8785	-999.25	-999.25	-999.25	0.47862	-999.25	-999.25	-51.8307
174.5	178.0126	0.01	53.6853	-999.25	-999.25	-999.25	0.493235	-999.25	-999.25	-52.4458
174.75	176.9134	0.011347	53.492	-999.25	-999.25	-999.25	0.536753	-999.25	-999.25	-53.0609
175	175.6801	0.00262	53.6045	-999.25	-999.25	-999.25	0.56544	-999.25	-999.25	-52.9912
175.25	176.0603	0.00108	54.2549	-999.25	-999.25	-999.25	0.52596	-999.25	-999.25	-52.2559
175.5	179.7303	-0.00046	55.7851	-999.25	-999.25	-999.25	0.518653	-999.25	-999.25	-51.9459
175.75	181.1451	-0.002	57.5729	-999.25	-999.25	-999.25	0.517841	-999.25	-999.25	-52.1305
176	181.1461	-0.00104	56.4013	-999.25	-999.25	-999.25	0.49404	-999.25	-999.25	-51.9548
176.25	182.1102	-0.006327	54.1855	-999.25	-999.25	-999.25	0.489226	-999.25	-999.25	-52.4331
176.5	182.7909	-0.00296	56.0766	-999.25	-999.25	-999.25	0.47836	-999.25	-999.25	-53.4672
176.75	183.2802	0.001013	58.2812	-999.25	-999.25	-999.25	0.483973	-999.25	-999.25	-53.719
177	183.8044	0.002007	59.5141	-999.25	-999.25	-999.25	0.47596	-999.25	-999.25	-53.9707
177.25	184.0116	0.003	59.4857	-999.25	-999.25	-999.25	0.471159	-999.25	-999.25	-54.2225
177.5	183.2764	0.00402	57.0367	-999.25	-999.25	-999.25	0.509148	-999.25	-999.25	-54.2222
177.75	183.3019	0.002287	56.0441	-999.25	-999.25	-999.25	0.543794	-999.25	-999.25	-54.7304
178	181.6998	0.00068	54.9336	-999.25	-999.25	-999.25	0.48298	-999.25	-999.25	-55.0035
178.25	180.3417	0.00606	56.7569	-999.25	-999.25	-999.25	0.480067	-999.25	-999.25	-55.0035
178.5	181.1261	0.01702	60.4837	-999.25	-999.25	-999.25	0.492693	-999.25	-999.25	-55.0467
178.75	182.11	0.0213	64.0451	-999.25	-999.25	-999.25	0.49758	-999.25	-999.25	-55.0715
179	182.9828	0.011886	65.529	-999.25	-999.25	-999.25	0.47404	-999.25	-999.25	-55.0714
179.25	183.2904	-0.006347	65.722	-999.25	-999.25	-999.25	0.490773	-999.25	-999.25	-55.2889
179.5	181.8757	-0.015	61.8893	-999.25	-999.25	-999.25	0.5174	-999.25	-999.25	-55.3183
179.75	180.4356	-0.004	57.0002	-999.25	-999.25	-999.25	0.510939	-999.25	-999.25	-55.3477
180	178.9954	-0.001307	58.2719	-999.25	-999.25	-999.25	0.498633	-999.25	-999.25	-55.3771
180.25	179.1491	0.00702	58.0007	-999.25	-999.25	-999.25	0.50268	-999.25	-999.25	-55.4065
180.5	178.2348	0.01002	57.9864	-999.25	-999.25	-999.25	0.507893	-999.25	-999.25	-55.4031
180.75	177.9894	0.008287	59.5286	-999.25	-999.25	-999.25	0.497387	-999.25	-999.25	-55.315
181	178.2681	0.003	59.355	-999.25	-999.25	-999.25	0.5164	-999.25	-999.25	-55.2268
