DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1014	8.886	0.007837	60.4877	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1014.25	8.896	0.009631	57.5812	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1014.5	8.9448	0.005475	59.4241	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1014.75	9.0033	-0.000167	62.4541	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1015	9.023	-0.007747	65.59	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1015.25	9.0068	-0.013965	66.5114	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1015.5	8.8858	-0.012793	58.4664	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1015.75	8.7866	-0.011195	52.6019	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1016	8.7746	-0.00789	55.4619	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1016.25	8.7631	-0.00373	56.5189	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1016.5	8.7537	0.003846	50.3621	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1016.75	8.7521	0.005767	47.2339	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1017	8.7556	0.00392	46.1239	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1017.25	8.7563	0.002504	45.0349	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1017.5	8.757	0.001375	43.96	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1017.75	8.761	-0.000383	44.605	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1018	8.763	-0.00214	45.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1018.25	8.765	0.003901	46.3999	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1018.5	8.7604	0.006039	46.4841	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1018.75	8.7489	0.002322	44.9692	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1019	8.7436	-0.000748	45.7276	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1019.25	8.7476	-0.002844	49.8976	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
