DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1001.375	-999.25	9.1775	0.017138	-999.25	-999.25	-999.25	-999.25	0.348926	2.8577	2.1654	-999.25
1001.5	-999.25	9.1775	0.017138	-999.25	-999.25	-999.25	-999.25	0.348926	2.8577	2.2116	-999.25
1001.625	-999.25	9.1775	0.017138	-999.25	-999.25	-999.25	-999.25	0.348926	2.8577	2.2116	-999.25
1001.75	-999.25	9.2313	0.025679	-999.25	-999.25	-999.25	-999.25	0.351004	2.8896	2.2491	-999.25
1001.875	-999.25	9.2732	0.031746	-999.25	-999.25	-999.25	-999.25	0.353455	2.8756	2.2491	-999.25
1002	-999.25	9.2732	0.031746	-999.25	-999.25	-999.25	-999.25	0.353455	2.8756	2.2622	-999.25
1002.125	-999.25	9.2732	0.031746	-999.25	-999.25	-999.25	-999.25	0.353455	2.8756	2.2622	-999.25
1002.25	-999.25	9.3122	0.037195	-999.25	-999.25	-999.25	-999.25	0.355998	2.8501	2.2692	-999.25
1002.375	-999.25	9.187	0.026031	-999.25	-999.25	-999.25	-999.25	0.358377	2.9145	2.2692	-999.25
1002.5	-999.25	9.187	0.026031	-999.25	-999.25	-999.25	-999.25	0.358377	2.9145	2.2583	-999.25
1002.625	-999.25	9.187	0.026031	-999.25	-999.25	-999.25	-999.25	0.358377	2.9145	2.2583	-999.25
1002.75	-999.25	9.0306	0.012415	-999.25	-999.25	-999.25	-999.25	0.360627	2.9676	2.2461	-999.25
1002.875	-999.25	8.9136	0.005604	-999.25	-999.25	-999.25	-999.25	0.362526	2.8856	2.2461	-999.25
1003	-999.25	8.9136	0.005604	-999.25	-999.25	-999.25	-999.25	0.362526	2.8856	2.246	-999.25
1003.125	-999.25	8.9136	0.005604	-999.25	-999.25	-999.25	-999.25	0.362526	2.8856	2.246	-999.25
1003.25	-999.25	8.8902	0.001081	-999.25	-999.25	-999.25	-999.25	0.366728	2.8247	2.2457	-999.25
1003.375	-999.25	8.8668	0.005712	-999.25	-999.25	-999.25	-999.25	0.38014	2.8482	2.2457	-999.25
1003.5	-999.25	8.8668	0.005712	-999.25	-999.25	-999.25	-999.25	0.38014	2.8482	2.2447	-999.25
1003.625	-999.25	8.8668	0.005712	-999.25	-999.25	-999.25	-999.25	0.38014	2.8482	2.2447	-999.25
1003.75	-999.25	8.8434	0.010288	-999.25	-999.25	-999.25	-999.25	0.39	2.8714	2.245	-999.25
1003.875	-999.25	8.82	0.014645	-999.25	-999.25	-999.25	-999.25	0.385642	2.8933	2.245	-999.25
1004	-999.25	8.82	0.014645	-999.25	-999.25	-999.25	-999.25	0.385642	2.8933	2.2503	-999.25
1004.125	-999.25	8.82	0.014645	-999.25	-999.25	-999.25	-999.25	0.385642	2.8933	2.2503	-999.25
1004.25	-999.25	8.8809	0.01735	-999.25	-999.25	-999.25	-999.25	0.372091	2.9107	2.2442	-999.25
1004.375	-999.25	8.9824	0.018953	-999.25	-999.25	-999.25	-999.25	0.352412	2.9252	2.2442	-999.25
1004.5	-999.25	8.9824	0.018953	-999.25	-999.25	-999.25	-999.25	0.352412	2.9252	2.2305	-999.25
1004.625	-999.25	8.9824	0.018953	-999.25	-999.25	-999.25	-999.25	0.352412	2.9252	2.2305	-999.25
1004.75	-999.25	9.149	0.022015	-999.25	-999.25	-999.25	-999.25	0.357246	3.0833	2.2091	-999.25
1004.875	-999.25	9.359	0.026047	-999.25	-999.25	-999.25	-999.25	0.378414	3.337	2.2091	-999.25
1005	-999.25	9.359	0.026047	-999.25	-999.25	-999.25	-999.25	0.378414	3.337	2.1826	-999.25
1005.125	-999.25	9.359	0.026047	-999.25	-999.25	-999.25	-999.25	0.378414	3.337	2.1826	-999.25
1005.25	-999.25	9.656	0.008061	-999.25	-999.25	-999.25	-999.25	0.390099	4.4125	1.9133	-999.25
1005.375	-999.25	9.953	-0.009925	-999.25	-999.25	-999.25	-999.25	0.401785	5.488	1.9133	-999.25
1005.5	-999.25	9.953	-0.009925	-999.25	-999.25	-999.25	-999.25	0.401785	5.488	1.644	-999.25
1005.625	-999.25	9.953	-0.009925	-999.25	-999.25	-999.25	-999.25	0.401785	5.488	1.644	-999.25
1005.75	-999.25	10.2699	0.0177	-999.25	-999.25	-999.25	-999.25	0.380933	4.5331	1.8077	-999.25
1005.875	-999.25	10.51	0.040726	-999.25	-999.25	-999.25	-999.25	0.368471	3.9186	1.8077	-999.25
1006	-999.25	10.51	0.040726	-999.25	-999.25	-999.25	-999.25	0.368471	3.9186	1.9391	-999.25
1006.125	-999.25	10.51	0.040726	-999.25	-999.25	-999.25	-999.25	0.368471	3.9186	1.9391	-999.25
1006.25	-999.25	10.635	0.056851	-999.25	-999.25	-999.25	-999.25	0.3686	3.8151	2.0219	-999.25
1006.375	-999.25	10.756	0.066129	-999.25	-999.25	-999.25	-999.25	0.37102	3.7538	2.0219	-999.25
1006.5	-999.25	10.756	0.066129	-999.25	-999.25	-999.25	-999.25	0.37102	3.7538	2.0764	-999.25
1006.625	-999.25	10.756	0.066129	-999.25	-999.25	-999.25	-999.25	0.37102	3.7538	2.0764	-999.25
1006.75	-999.25	10.871	0.065134	-999.25	-999.25	-999.25	-999.25	0.37688	3.7558	2.0884	-999.25
1006.875	-999.25	10.785	0.063577	-999.25	-999.25	-999.25	-999.25	0.387342	3.7068	2.0884	-999.25
