DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1729.25	56.6625	9.414	111.4065	45.5985	35.5	77.863	0.13262	4.0575	2.68	61.474
1729.5	56.244	9.428	109.267	39.831	30.046	48.213	0.14232	4.137	2.648	62.289
1729.75	58.693	9.4095	111.315	35.9005	26.976	30.988	0.15849	4.2425	2.6215	62.8745
1730	62.023	9.413	113.597	33.224	25.704	27.793	0.17109	4.268	2.613	63.013
1730.25	63.1515	9.445	115.3975	31.6025	25.176	31.565	0.176285	4.304	2.6105	62.718
1730.5	62.957	9.504	116.108	31.22	25.109	32.861	0.17871	4.412	2.615	62.609
1730.75	63.257	9.5595	113.7435	31.7845	25.5245	30.4355	0.181065	4.427	2.629	62.8385
1731	63.774	9.593	111.094	32.189	25.776	29.12	0.18046	4.403	2.634	62.925
1731.25	63.9265	9.613	109.8825	32.1825	25.5615	29.1685	0.1762	4.2815	2.639	62.616
1731.5	63.99	9.619	109.271	32.375	25.376	29.936	0.17345	4.191	2.651	61.924
1731.75	64.24	9.6185	109.1685	33.6845	26.2215	30.5535	0.173095	4.095	2.6545	61.084
1732	65.124	9.619	108.938	36.608	29.235	29.955	0.17109	4.035	2.644	60.294
1732.25	66.787	9.5855	109.195	40.885	34.232	32.0815	0.160485	3.988	2.647	59.4995
1732.5	67.294	9.515	111.173	45.708	38.807	42.812	0.14233	3.965	2.672	58.819
1732.75	66.071	9.4595	111.729	51.3445	42.275	65.1405	0.13088	3.9745	2.6975	58.133
1733	64.984	9.432	109.316	56.34	44.302	82.116	0.12984	3.959	2.705	57.336
1733.25	64.4525	9.3915	109.5775	56.835	43.0305	79.626	0.13061	4.005	2.7015	56.7335
1733.5	64.401	9.335	110.99	54.573	40.491	61.249	0.1307	4.351	2.704	56.241
1733.75	64.5785	9.276	109.818	52.732	39.8215	47.9705	0.127355	4.4135	2.706	55.605
1734	64.05	9.22	108.004	51.853	40.644	51.345	0.11986	4.376	2.701	54.822
1734.25	63.3595	9.196	108.359	53.1495	41.1745	70.9535	0.11774	4.4185	2.699	54.036
1734.5	62.789	9.194	113.368	58.089	41.75	77.059	0.12595	4.448	2.699	53.185
1734.75	61.028	9.176	119.1545	66.468	44.3275	63.204	0.142275	4.48	2.687	51.656
1735	58.812	9.151	119.194	75.737	49.922	62.391	0.1632	4.528	2.652	49.277
1735.25	58.169	9.125	119.7065	85.657	59.291	72.998	0.16274	4.7215	2.628	46.5325
1735.5	58.761	9.086	124.392	98.581	71.203	83.896	0.16589	4.786	2.646	43.685
1735.75	58.458	9.029	125.121	119.8485	82.1635	114.872	0.149425	4.717	2.685	40.861
1736	56.705	8.973	121.871	153.902	90.753	182.393	0.13561	4.712	2.714	38.336
1736.25	55.3185	8.938	120.2655	192.701	97.348	285.871	0.130355	4.6545	2.7225	35.861
1736.5	54.98	8.921	119.637	214.381	101.255	450.416	0.12459	4.659	2.716	33.423
1736.75	55.1395	8.9215	119.5465	210.232	100.6435	518.356	0.123915	4.5845	2.7115	31.455
1737	55.679	8.935	120.613	199.088	96.112	389.427	0.12678	4.804	2.699	30.008
1737.25	56.35	8.9495	122.254	195.5355	93.9075	302.287	0.12717	4.8245	2.6905	29.1085
1737.5	56.523	8.963	124.583	197.07	98.174	331.443	0.12524	4.868	2.704	28.771
1737.75	56.069	8.9895	124.7255	197.1895	106.045	579.263	0.123795	4.659	2.729	28.876
1738	55.53	9.021	123.433	197.465	109.964	1248.563	0.12469	4.322	2.737	29.01
1738.25	55.35	9.0375	122.047	199.245	107.8425	1873.9105	0.125895	4.203	2.7215	29.1145
1738.5	55.777	9.037	121.856	198.877	105.918	1671.719	0.12671	4.218	2.7	29.289
1738.75	56.8095	9.0205	123.52	198.7245	107.443	808.1315	0.12785	4.196	2.6965	29.4615
1739	57.698	8.984	124.324	198.772	108.247	525.807	0.12791	4.178	2.707	29.73
1739.25	57.897	8.9535	122.7285	196.4325	106.819	515.4995	0.126625	3.9895	2.7145	30.241
1739.5	57.809	8.945	120.451	195.339	106.213	622.861	0.12493	3.819	2.712	30.912
1739.75	58.354	8.9465	120.3055	195.427	105.12	653.177	0.12456	3.947	2.7025	31.694
1740	59.301	8.95	120.829	194.719	103.237	537.244	0.12494	4.487	2.703	32.658
1740.25	59.7345	8.9615	120.8725	193.139	101.5905	492.3945	0.125735	4.603	2.7165	33.6925
1740.5	59.672	8.984	121.307	192.943	100.325	539.225	0.12766	4.471	2.732	34.501
1740.75	59.354	9.0075	122.6135	194.3265	100.3045	585.091	0.12986	4.418	2.7405	35.1965
1741	58.951	9.017	123.211	190.296	98.755	596.789	0.13137	4.34	2.741	35.987
1741.25	58.715	9.022	123.011	177.905	92.088	566.4335	0.13149	4.149	2.74	36.6915
1741.5	58.886	9.044	122.114	166.533	83.789	411.049	0.13302	4.077	2.728	37.299
1741.75	59.671	9.0935	117.817	159.0335	80.015	268.86	0.13365	4.156	2.697	37.869
1742	60.434	9.132	112.21	149.641	80.552	204.301	0.1308	4.194	2.667	38.25
1742.25	59.9125	9.1465	109.0685	140.2475	80.0155	199.5675	0.13348	4.2	2.6585	38.269
1742.5	58.848	9.187	109.379	137.555	78.961	231.738	0.13223	4.191	2.677	38.055
1742.75	58.583	9.2195	111.9475	143.028	81.847	242.669	0.131755	4.175	2.6915	37.7155
1743	58.799	9.185	113.382	146.051	83.915	233.251	0.1322	4.181	2.687	37.253
1743.25	59.3125	9.1315	115.075	140.879	79.8475	247.689	0.12797	4.1965	2.6925	36.8325
1743.5	59.526	9.109	118.391	135.084	75.17	260.187	0.12459	4.213	2.722	36.574
1743.75	59.362	9.117	119.987	131.2085	72.241	232.487	0.12799	4.2315	2.74	36.5435
1744	59.816	9.13	117.834	129.387	71.772	193.556	0.13108	4.233	2.696	36.719
1744.25	60.3775	9.111	113.8675	129.886	75.3	179.902	0.134465	4.232	2.632	36.99
1744.5	60.233	9.018	111.655	131.117	80.98	191.758	0.13606	4.227	2.631	37.226
1744.75	59.3495	8.865	108.595	136.278	85.3285	224.399	0.12598	4.239	2.6735	37.4185
1745	58.352	8.777	105.164	150.008	85.095	258.522	0.11838	4.347	2.683	37.65
1745.25	58.2365	8.8175	105.718	170.379	84.4885	243.8745	0.121985	4.501	2.669	37.7775
1745.5	59	8.872	109.257	186.821	87.523	211.357	0.13347	4.523	2.665	37.649
1745.75	59.677	8.86	111.698	187.899	88.596	213.707	0.13213	4.5	2.6715	37.3985
1746	59.323	8.842	111.559	185.618	85.614	242.547	0.12607	4.181	2.688	37.364
1746.25	58.426	8.881	110.854	189.8435	84.8785	280.598	0.123355	4.2965	2.7035	37.748
1746.5	57.641	8.932	110.244	189.1	86.457	293.515	0.12493	4.322	2.712	38.21
1746.75	56.862	8.946	110.9965	174.4725	84.433	232.7115	0.13239	4.33	2.705	38.4255
1747	57.211	8.953	114.324	157.397	79.357	164.843	0.14577	4.496	2.683	38.561
1747.25	58.7745	8.989	117.674	149.945	78.1195	139.5495	0.158015	4.6285	2.657	38.8485
1747.5	59.465	9.032	119.078	149.343	82.068	154.25	0.15997	4.573	2.666	39.315
1747.75	58.8065	9.024	120.8415	152.727	88.86	201.788	0.15379	4.128	2.709	39.7
1748	58.73	8.956	121.099	160.47	96.566	236.398	0.1507	3.603	2.731	39.814
1748.25	59.751	8.8325	119.5275	169.3465	102.1025	247.0165	0.150755	3.7285	2.7255	39.8645
1748.5	60.364	8.704	120.176	177.115	102.689	276.814	0.14885	4.218	2.722	39.961
1748.75	60.05	8.646	120.432	185.9215	100.0815	346.5825	0.14737	4.309	2.7235	39.891
1749	59.487	8.645	119.136	192.888	98.515	424.163	0.14432	4.237	2.723	39.755
1749.25	59.375	8.658	119.586	193.352	98.809	381.6895	0.141935	4.271	2.7105	39.7835
1749.5	59.925	8.646	122.267	187.96	99.43	313.53	0.14443	4.289	2.704	39.966
1749.75	60.67	8.6005	125.047	180.515	99.043	335.4345	0.145825	4.2825	2.712	40.4635
1750	60.254	8.566	123.735	170.114	95.733	421.132	0.14206	4.313	2.719	41.332
1750.25	59.5045	8.563	120.3775	155.3915	87.7735	368.942	0.14185	4.3485	2.717	42.457
1750.5	60.244	8.574	121.008	139.5	78.902	207.944	0.14676	4.344	2.704	43.74
1750.75	61.296	8.577	122.371	121.8905	72.814	142.5675	0.149575	4.325	2.6925	44.9315
1751	61.099	8.574	122.015	106.413	68.541	136.807	0.14777	4.289	2.692	45.651
1751.25	59.669	8.5895	122.4335	99.5675	66.5125	149.2715	0.14374	4.3325	2.7	45.883
1751.5	57.956	8.61	122.614	100.855	70.115	154.027	0.13987	4.618	2.704	45.779
