DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1463.125	377.3873	10.645	0.068632	71.2022	0.7939	0.8483	0.9922	0.351783	3.3024	2.3155	-999.25
1463.25	375.8254	10.67	0.083287	70.9566	0.7963	0.8541	1.0149	0.336604	3.2743	2.3439	-999.25
1463.375	375.2	10.8562	0.090569	73.0056	0.7986	0.8582	1.0144	0.330541	3.2383	2.3491	-999.25
1463.5	375.2	11.15	0.092928	76.5868	0.8007	0.8613	0.9985	0.330565	3.197	2.3387	-999.25
1463.625	378.5	10.855	0.0981	73.9188	0.8055	0.8626	1.0008	0.333753	3.178	2.3284	-999.25
1463.75	378.5	10.93	0.111654	73.5495	0.8073	0.862	1.0045	0.344644	3.193	2.3285	-999.25
1463.875	377.7503	10.9675	0.121581	75.6691	0.8081	0.8599	1.0011	0.347272	3.2035	2.3398	-999.25
1464	380	10.875	0.121351	76.5916	0.8086	0.8586	0.9912	0.34774	3.244	2.3475	-999.25
1464.125	381.3736	10.77	0.119747	77.3969	0.8094	0.8578	0.9807	0.348605	3.2742	2.3517	-999.25
1464.25	378.3002	10.8225	0.120533	77.8882	0.8104	0.8578	0.9732	0.348024	3.2513	2.3509	-999.25
1464.375	379.0499	11.0287	0.121532	74.3279	0.8101	0.8586	0.9711	0.347938	3.2594	2.3477	-999.25
1464.5	378	11.21	0.130159	73.4079	0.8095	0.8618	1.004	0.362749	3.291	2.3391	-999.25
1464.625	377.0623	11.0912	0.13581	73.7812	0.8108	0.8639	1.0146	0.365957	3.3041	2.3483	-999.25
1464.75	376.5	10.99	0.135107	72.131	0.8115	0.8652	1.021	0.367562	3.3265	2.3539	-999.25
1464.875	376.6874	10.9338	0.128581	70.6984	0.8124	0.8659	1.0188	0.364342	3.3279	2.3576	-999.25
1465	377	10.89	0.124523	71.4347	0.8139	0.8671	1.015	0.359504	3.306	2.3636	-999.25
1465.125	378.3749	10.8387	0.128063	73.3263	0.8191	0.8688	1.0008	0.349235	3.3776	2.3577	-999.25
1465.25	377.7502	10.8325	0.112346	71.3401	0.8231	0.8697	0.9897	0.352598	3.3758	2.3282	-999.25
1465.375	376.0006	10.6576	0.106619	74.2949	0.828	0.873	0.993	0.354782	3.3952	2.2954	-999.25
1465.5	376.25	10.59	0.116976	73.5775	0.8315	0.8774	1.0053	0.35469	3.3855	2.2957	-999.25
1465.625	376.6245	10.5975	0.127717	71.8903	0.8355	0.8831	1.0205	0.353194	3.3445	2.3052	-999.25
1465.75	374.7996	10.62	0.12391	72.5366	0.8424	0.8928	1.0403	0.349244	3.271	2.3142	-999.25
1465.875	373.0502	10.545	0.110111	72.0379	0.8476	0.8995	1.0484	0.347788	3.271	2.32	-999.25
1466	372.2	10.3	0.118027	76.1268	0.8569	0.9106	1.045	0.332133	3.214	2.3537	-999.25
1466.125	372.3875	10.2687	0.116078	72.1139	0.8633	0.9164	1.0494	0.324934	3.2471	2.3362	-999.25
1466.25	371.85	10.295	0.09455	69.7885	0.8712	0.9243	1.0655	0.311444	3.268	2.2942	-999.25
1466.375	369.6256	10.355	0.070202	70.8767	0.8778	0.9314	1.0992	0.304112	3.2997	2.2546	-999.25
1466.5	367	10.38	0.063547	72.557	0.8818	0.936	1.133	0.307187	3.351	2.241	-999.25
1466.625	369.9382	10.3988	0.084117	70.3537	0.8876	0.9403	1.1161	0.310311	3.3635	2.2672	-999.25
1466.75	369.7	10.455	0.097291	69.3356	0.8947	0.9455	1.1015	0.312741	3.373	2.2615	-999.25
1466.875	366.9503	10.5975	0.094543	70.7958	0.9006	0.9506	1.0865	0.316746	3.3896	2.2172	-999.25
1467	365.7	10.76	0.088558	72.7256	0.9042	0.9545	1.069	0.322497	3.414	2.1789	-999.25
1467.125	374.6122	10.5913	0.103376	69.3623	0.9112	0.9635	1.1185	0.342623	3.4222	2.1184	-999.25
1467.25	371.6757	10.6475	0.100396	68.1531	0.9139	0.9689	1.131	0.355129	3.3885	2.0676	-999.25
1467.375	371.3996	10.5351	0.088979	69.7311	0.9164	0.9777	1.16	0.36462	3.3323	2.0201	-999.25
1467.5	373.35	10.455	0.080019	70.3174	0.9188	0.9831	1.162	0.364581	3.316	2.0238	-999.25
1467.625	373.4231	10.405	0.078988	70.6271	0.9223	0.987	1.1495	0.362423	3.3473	2.0677	-999.25
1467.75	367.8245	10.42	0.094595	72.8689	0.9274	0.9895	1.1212	0.358254	3.4645	2.1817	-999.25
1467.875	365.6378	10.57	0.0998	75.3866	0.9292	0.9901	1.0994	0.352487	3.5082	2.2346	-999.25
1468	366.2	10.71	0.117254	70.2326	0.9316	0.9907	1.118	0.334575	3.517	2.2923	-999.25
1468.125	369.2007	10.6287	0.127024	70.5891	0.9328	0.9922	1.1318	0.333069	3.5608	2.2912	-999.25
1468.25	368.35	10.635	0.140949	71.0653	0.9342	0.9955	1.143	0.336747	3.593	2.2766	-999.25
1468.375	366.6371	10.5063	0.152096	69.4559	0.9359	1.0006	1.1411	0.343137	3.593	2.2528	-999.25
1468.5	368.2	10.2	0.157234	66.334	0.9375	1.005	1.133	0.346154	3.583	2.236	-999.25
1468.625	364.525	10.1671	0.180976	64.8424	0.9342	1.017	1.1444	0.348516	3.4349	2.2486	-999.25
1468.75	364.65	9.9528	0.186946	65.9972	0.9275	1.022	1.1512	0.347434	3.3443	2.2484	-999.25
1468.875	367.5488	9.6676	0.160036	66.6526	0.9058	1.0225	1.1862	0.347791	3.2218	2.2261	-999.25
1469	365.85	9.722	0.138369	67.284	0.8745	1.013	1.219	0.342932	3.1595	2.2143	-999.25
1469.125	365.1524	9.7902	0.121123	68.4427	0.836	0.9933	1.2327	0.337854	3.1042	2.2139	-999.25
1469.25	370.6748	9.5872	0.094142	70.8899	0.7846	0.9438	1.1815	0.340292	3.0237	2.2259	-999.25
1469.375	369.8626	9.4754	0.066864	72.5761	0.7578	0.8999	1.1153	0.346044	2.9856	2.226	-999.25
1469.5	374	9.218	0.027023	71.4871	0.7065	0.8022	0.9116	0.322423	3.033	2.2302	-999.25
1469.625	374.9377	9.1642	0.050531	71.6202	0.683	0.7469	0.8185	0.312709	3.0511	2.2594	-999.25
1469.75	379.3023	9.181	0.057522	71.9242	0.6662	0.6968	0.7252	0.310683	3.0605	2.2376	-999.25
1469.875	388.7989	9.3035	0.039777	72.4843	0.6595	0.6544	0.6319	0.320169	3.0568	2.1395	-999.25
1470	385.2	9.773	0.005232	65.8483	0.6596	0.6118	0.5615	0.380029	2.935	2.0268	-999.25
1470.125	382.0742	9.3723	0.0041	63.8637	0.6642	0.6151	0.5749	0.382595	2.9106	2.0286	-999.25
1470.25	373.2	8.9835	0.007568	64.4739	0.6747	0.6396	0.6623	0.356634	2.9215	2.1102	-999.25
1470.375	360.6898	8.835	0.006715	66.7105	0.6958	0.693	0.8445	0.312223	2.9571	2.2354	-999.25
1470.5	351.5	8.835	-0.001625	67.4383	0.7177	0.7446	1.016	0.284022	2.974	2.3101	-999.25
